Fcode,FD_name,Total,SFA,MUFA,PUFA,EPA,DHA
11201,小麦粉(标准粉)                ,1,0.3,0.2,0.5,,
11202,小麦粉(富强粉，特一粉),0.7,0.2,0.2,0.3,,
11302,挂面(标准粉),0.5,0.1,0.1,0.2,,
11303,挂面(富强粉),0.4,0.1,0.1,0.2,,
11409,油条,11.8,0.5,7.5,2.2,,
11502,油面筋,16.8,4.7,3.1,9.1,,
12202,籼米(标准)[机米],0.5,0.1,0.2,0.2,,
12212,黑米,2.1,0.7,1,0.3,,
13104,玉米面(白),3.8,0.6,1.1,2.2,,
15102,小米面,1.8,0.6,0.3,0.9,,
19005,荞麦,1.7,0.5,0.9,0.2,,
21202,甘薯(红心)[山芋，红薯],,,,,,
22107,魔芋精粉[鬼芋粉，南星粉],,,,,,
31101,黄豆[大豆],14.9,2.4,3.5,9.1,,
31102,黑豆[黑大豆],14.8,2.3,4.1,8.4,,
31103,青豆[青大豆],14.9,2.8,4.6,7.5,0.7,
31201,黄豆粉,17,2.8,3.7,10.8,,
31202,豆腐花[豆腐粉],2.4,0.4,0.6,1.5,,
31203,豆浆粉,8.7,1.4,2,5.2,,
31301,豆腐(均值),3.4,0.6,0.8,2.1,,
31302,豆腐(北),4.5,0.7,1,2.7,,
31303,豆腐(南)[南豆腐],2.3,0.4,0.5,1.4,,
31304,豆腐(内酯),1.8,0.3,0.4,1.1,,
31305,豆腐脑[老豆腐],0.7,0.1,0.2,0.5,,
31401,豆浆,0.7,0.2,0.1,0.4,,
31402,豆奶[豆乳],1.4,0.2,0.3,0.9,,
31501,豆腐丝,9.8,1.5,2.1,6.1,,
31504,豆腐卷,10.8,1.8,2.5,6.5,,
31505,豆腐皮,16.2,2.6,3.7,9.8,,
31506,油豆腐,16.4,3,3,10.4,,
31507,腐竹,20.2,3,4.7,12.4,,
31509,千张[百页],14.9,2.4,3.4,9,,
31510,豆腐干(均值),3.3,0.5,0.7,2.1,,
31512,豆腐干(臭干),4.3,0.7,0.9,2.7,,
31516,豆腐干(香干),7.3,1.1,1.5,4.5,,
31517,豆腐干(小香干),8.5,1.3,2,5.1,,
31521,素火腿,12.3,2.4,2.7,7.1,,
31522,素鸡,11.6,1.8,2.5,7.5,,
31523,素鸡丝卷,12.7,1.8,2.6,8.3,,
31526,烤麸,0.2,0,0,0.2,,
32101,绿豆,0.6,0.2,0.1,0.3,,
32102,绿豆面,0.5,0.2,0.1,0.3,,
33101,赤小豆[小豆，红小豆],0.5,0.1,0.1,0.3,,
35102,蚕豆(带皮),0.9,0.1,0.2,0.5,,
35103,蚕豆(去皮),1.2,0.2,0.3,0.7,,
35104,马牙大豆,0.7,0.3,0.4,0,,
39102,扁豆(白),1,0.2,0.1,0.6,,
39201,眉豆[饭豇豆],0.9,0.2,0.1,0.5,,
39202,豇豆,0.9,0.3,0.2,0.5,,
39301,豌豆,0.9,0.2,0.2,0.5,,
39302,豌豆(花),0.8,0.2,0.2,0.5,,
42202,黄豆芽,1.3,0.3,0.4,0.7,,
42203,绿豆芽,0.1,0,0,0,,
45410,百合(干),0.4,0,0.2,0.1,,
51011,蘑菇(鲜蘑),0.1,0,0,0.1,,
51012,蘑菇(干),3.7,0.9,0.1,2.6,,
51013,木耳(干)[黑木耳，云耳],1.2,0.3,0.4,0.5,,
51014,木耳(水发)[黑木耳，云耳],0.2,0,0.1,0.1,,
51020,香菇(干)[香蕈，冬菇],1,0.1,0.1,0.7,,
51024,银耳(干)[白木耳],1.1,0.5,0.6,0,,
52007,苔菜(干)[苔条，条浒苔],0.3,0.2,0.1,0.1,,
61302,红果(干),1.8,0.3,0.4,1,,
62302,枣(干),0.4,0.1,0.1,0.1,,
63904,桑葚(干),4.9,0.6,0.3,4,,
65017,椰子,9.7,8.5,0.9,0.3,,
71004,核桃(干)[胡桃],56.2,4.8,8.8,42.8,,
71007,山核桃(熟)[小核桃],48.6,3.6,36,8.7,,
71008,栗子(鲜)[板栗],0.7,0.1,0.2,0.4,,
71012,松子(炒),55.9,7.4,22.2,26.3,,
71013,松子仁,67.5,9,26.8,31.7,,
71025,榛子(炒),48.1,10,11.4,25.7,,
72002,花生(鲜)[落花生，长生果],24.2,4.8,9.3,9.3,,
72003,花生(炒),45.6,9,17.6,17.6,,
72004,花生仁(生),42.1,8.3,16.3,16.3,,
72005,花生仁(炒),42.2,8.4,16.3,16.3,,
72007,葵花子(炒),50.5,6.9,10.1,33,,
72008,葵花子仁,51.1,4.5,6.9,39.4,,
72009,莲子(干),1.9,0.8,0.3,0.6,,
72011,南瓜子(炒)[白瓜子],44.1,7.9,16.5,19.8,,
72013,西瓜子(炒),42.8,7.1,5.3,28.7,,
72014,西瓜子(话梅),44.5,7.6,4.9,32,,
72015,西瓜子仁,43.9,5.8,4.2,33.7,,
72017,芝麻籽(黑),44.1,6.3,16.5,20.8,,
81103,猪肉(后臀尖),29.4,10.8,13.4,3.6,,
81104,猪肉(后肘),25.5,9.4,11.6,3.1,,
81105,猪肉(肋条肉),56.2,20.7,25.6,6.8,,
81106,猪肉(里脊),7.2,2.7,3.3,0.9,,
81107,猪肉(奶脯)[软五花，猪夹心],33.6,12,19.5,2.1,,
81108,猪肉(奶面)[硬五花],29.2,10.8,13.3,3.5,,
81109,猪肉(前肘),21.8,3.3,15.3,3.2,,
81111,猪肉(腿),11.6,4.3,5.3,1.4,,
81112,猪肉(猪脖),57.7,19.9,30.6,7,,
81113,猪大肠,17,7.7,7.2,2,,
81116,猪蹄,17.1,6.3,7.8,2.1,,
81118,猪头皮,42.5,13.1,21,4.4,,
81120,猪肘棒,14.6,5.1,7.8,1.6,,
81202,猪肚,4.6,2.4,1.8,0.4,,
81203,猪肺,3.5,1.5,1.5,0.4,,
81204,猪肝,2.6,1.1,0.7,0.7,,0.1
81205,猪脑,5.5,2.4,2.7,0.4,,
81207,猪舌[口条],16.5,6.2,8.1,2,,
81208,猪肾[猪腰子],2.4,1,0.8,0.5,,
81210,猪小肠,1.8,0.8,0.5,0.4,0.4,1.2
81211,猪心,4.2,1.7,1.6,0.9,,0.1
81212,猪血,0.3,0.1,0.1,0,,
