Foodcode,FD_name,Total,SFA,MUFA,PUFA,EPA,DHA
011206,小麦面粉(标准粉）,1.7,0.9,0.5,0.2,0,0
011207,挂面（富强粉、特一粉）,1,0.3,0.1,0.6,,
011208,小麦面粉(特制）,,,,,,
011313,挂面（富强粉）,1,0.7,0.2,0.1,,
011314,龙须面（素）,1.2,0.8,0,0.3,,
011315,龙须面（鸡蛋）,1.2,0.6,0.3,0.2,,
011316,面条（富强粉，切面）,0.3,0.1,0.1,0.1,,
011317,面条（富强粉，煮）,0.3,0.1,0,0.2,,
011410,花卷（加牛奶）,2.1,0.8,0.7,0.6,,
01141l,馒头（富强粉）,0.9,0.7,0.2,,,
011503,面筋（肉馅）,,,,,,
012106,粳米（极品精米）,,,,,,
012107,粳米（西域王米）,,,,,,
012108,粳米（小站精米）,,,,,,
012214,籼米,0.9,0.3,0.2,0.4,,
012215,香米,,,,,,
012408,籼米饭（蒸）,0.3,0.1,0.1,0.1,,
012409,籼米粥,0.2,0.1,0,0.1,,
012410,米粉,0.7,0.3,0.1,0.3,,
012411,河粉,,,,,,
013108,玉米粒（黄，干）,0.7,0.2,0.1,0.4,,
013109,玉米面（黄）,1.3,0.3,0.3,0.7,,
013110,玉米糁,1,0.2,0.2,0.6,,
013202,玉米面面条,,,,,,
014102,黑大麦,,,,,,
015104,小米（黄）,2.6,1.2,0.8,0.5,,
019010,荞麦面,1.9,0.3,0.6,0.9,,
019011,莜麦面,5.8,1.7,3.1,0.9,,
019201,高粱面面条,,,,,,
021104,马铃薯[土豆，洋芋],,,,,,
021105,马铃薯（烤）,,,,,,
021106,马铃薯（蒸）,,,,,,
021107,马铃薯（煮）,,,,,,
021108,马铃薯全粉,,,,,,
021205,甘薯（红心）[山芋、红薯],,,,,,
022108,淀粉（小麦）,,,,,,
022109,淀粉（大米）,,,,,,
022110,淀粉（马铃薯）,,,,,,
022111,淀粉（甘薯）,,,,,,
022112,煎炸粉,,,,,,
031104,黄豆,,,,,,
031206,豆奶粉（维维牌）,,,,,,
031207,豆奶粉（多力牌）,4.3,2.5,1.2,0.6,,
031208,豆奶粉（大磨牌）,8.6,2.7,1.8,4.1,,
031306,豆腐（北豆腐）,7.5,3.8,2.9,0.6,,
031307,豆腐（南豆腐）,5.4,1.9,2,1.6,,
031405,豆浆,1.5,0.8,0.5,0.2,,
031406,豆浆（甜）,,,,,,
031527,豆腐皮,21.4,5.6,6.5,9.2,,
031528,腐竹,25.3,10.3,12.1,2.9,,
031529,豆腐干,32.7,11.1,12.5,9.2,,
033204,红豆沙,,,,,,
033205,红豆馅,,,,,,
035203,蚕豆（煮）,,,,,,
039204,豇豆（煮）,,,,,,
039303,豌豆（煮）,,,,,,
039401,鹰嘴豆[桃豆],,,,,,
041111,白萝卜[莱菔],,,,,,
041112,白萝卜（圆）,,,,,,
041113,青萝卜,,,,,,
041114,变萝卜[红皮萝卜],,,,,,
041115,樱桃萝卜,,,,,,
041204,胡萝卜,,,,,,
041402,根芹[根洋芹、菜球塘蒿],,,,,,
041403,紫菜头,,,,,,
042118,扁豆,,,,,,
042119,豇豆,,,,,,
042120,四季豆[菜豆、芸豆],,,,,,
042121,四棱豆[杨桃豆、翅豆],,,,,,
042122,脆甜荷兰豆[甜豆],,,,,,
042205,黄豆芽,,,,,,
042206,绿豆芽,,,,,,
042207,黑豆苗,,,,,,
042208,豌豆苗,,,,,,
043115,茄子（白皮，长）,,,,,,
043116,茄子（紫皮，长）,,,,,,
043117,茄子（紫皮，圆）,,,,,,
043118,香瓜茄,,,,,,
043119,番茄[西红柿],,,,,,
043120,樱桃番茄[小西红柿],,,,,,
043121,辣椒（小红尖辣椒）,,,,,,
043122,辣椒（小红尖辣椒，干）,,,,,,
043123,辣椒（青，尖）,,,,,,
043124,甜椒[灯笼椒、柿子椒],,,,,,
043125,彩椒,,,,,,
043126,秋葵[黄秋葵、羊豆角],,,,,,
043221,冬瓜,,,,,,
043222,飞碟瓜,,,,,,
043223,黄金西葫芦,,,,,,
043224,黄茎瓜,,,,,,
043225,迷你黄瓜[荷兰乳黄瓜],,,,,,
043226,秋黄瓜[旱黄瓜],,,,,,
