Fcode,cmfp,dash,ahei,FD_name,edible,water,kcal,kj,prot,fat,cho,fiber,sodium
11101,1,1,,小麦                          ,100,10,317,1326,11.9,1.3,75.2,10.8,6.8
11102,1,1,,五谷香,100,5.6,377,1577,9.9,2.6,78.9,0.5,1
11201,1,1,,小麦粉(标准粉),100,12.7,344,1439,11.2,1.5,73.6,2.1,3.1
11202,1,1,,小麦粉(富强粉，特一粉),100,12.7,350,1464,10.3,1.1,75.2,0.6,2.7
11203,1,1,,小麦粉(特二粉),100,12,349,1460,10.4,1.1,75.9,1.6,1.5
11204,1,1,,小麦胚粉,100,4.3,392,1640,36.4,10.1,44.5,5.6,4.6
11205,1,1,,麸皮,100,14.5,220,920,15.8,4,61.4,31.3,12.2
11301,1,1,,挂面(均值),100,12.3,346,1448,10.3,0.6,75.6,0.7,184.5
11302,1,1,,挂面(标准粉),100,12.4,344,1439,10.1,0.7,76,1.6,150
11303,1,1,,挂面(富强粉),100,12.7,347,1452,9.6,0.6,76,0.3,110.6
11304,1,1,,挂面(精制龙须面),100,11.9,347,1452,11.2,0.5,74.7,0.2,292.8
11305,1,1,,面条(均值),100,28.5,284,1188,8.3,0.7,61.9,0.8,28
11306,1,1,,面条(标准粉，切面),100,29.7,280,1172,8.5,1.6,59.5,1.5,3.4
11307,1,1,,面条(富强粉，切面),100,29.2,285,1192,9.3,1.1,59.9,0.4,1.5
11308,1,1,,面条(特粉，切面),100,27.5,286,1197,7.3,0.1,64.5,0.6,9.7
11309,1,1,,面条(富强粉，煮),100,72.6,109,456,2.7,0.2,24.3,0.1,26.9
11310,1,1,,面条(干切面),100,10.5,355,1485,11,0.1,77.7,0.2,60.9
11311,1,1,,面条(虾蓉面),100,6.1,429,1795,8.5,15.1,68.3,3.6,304.2
11312,1,1,,通心面[通心粉],100,11.8,350,1464,11.9,0.1,75.8,0.4,35
11401,1,1,,花卷,100,45.7,211,883,6.4,1,45.6,1.5,95
11402,1,1,,空锅饼,100,29.4,277,1159,8.6,0.2,60.9,0.7,243.2
11403,1,1,,烙饼(标准粉),100,36.4,255,1067,7.5,2.3,52.9,1.9,149.3
11404,1,1,,馒头(均值),100,43.9,221,925,7,1.1,47,1.3,165.1
11405,1,1,,馒头(标准粉),100,40.5,233,975,7.8,1,49.8,1.5,165.2
11406,1,1,,馒头(富强粉),100,47.3,208,870,6.2,1.2,44.2,1,165
11407,1,1,,烧饼(加糖),100,25.9,293,1226,8,2.1,62.7,2.1,62.5
11408,1,1,,油饼,100,24.8,399,1669,7.9,22.9,42.4,2,572.5
11409,1,1,,油条,100,21.8,386,1615,6.9,17.6,51,0.9,585.2
11501,1,1,,水面筋,100,63.5,141,590,23.5,0.1,12.3,0.9,15
11502,1,1,,油面筋,100,7.1,490,2050,26.9,25.1,40.4,1.3,29.5
12001,1,1,,稻米(均值),100,13.3,346,1448,7.4,0.8,77.9,0.7,3.8
12101,1,1,,粳米(标一),100,13.7,343,1435,7.7,0.6,77.4,0.6,2.4
12102,1,1,,粳米(标二),100,13.2,347,1452,8,0.6,77.7,0.4,0.9
