Fcode,cmfp,dash,hei,FD_name,edible,water,kcal,kj,prot,fat,cho,fiber,sodium
11206,1,,,小麦面粉(标准粉）,100,9.9,354,1482,15.7,2.5,70.9,3.7,3.1
11207,1,,,挂面（富强粉、特一粉）,100,10.8,361,1509,12.3,1.5,74.9,0.4,2.7
11208,1,,,小麦面粉(特制）,100,10.4,366,1531,13.3,2.2,73.5,,60.3
11313,1,,,挂面（富强粉）,100,10.2,361,1511,13,1.5,74.7,0.8,110.6
11314,1,,,龙须面（素）,100,10.4,356,1490,10.8,1.8,75.7,1.5,249.8
11315,1,,,龙须面（鸡蛋）,100,10.2,345,1445,14,1.8,71.5,3.2,711.2
11316,1,,,面条（富强粉，切面）,100,29,272,1140,8.9,0.4,60.7,2.4,11.5
11317,1,,,面条（富强粉，煮）,100,72.7,104,433,3.9,0.4,22.8,1.7,26.9
11410,1,,,花卷（加牛奶）,100,30.8,274,1145,6.5,3.2,58.9,4.2,97
11411,1,,,馒头（富强粉）,100,40.3,226,946,7.1,1.3,50.9,4.4,165
11503,1,,,面筋（肉馅）,100,49.2,364,1522,16.2,33.2,0.1,,663.8
12106,1,,,粳米（极品精米）,100,13.9,337,1412,6.4,1.2,78.1,2.8,2.7
12107,1,,,粳米（西域王米）,100,13.3,352,1472,7.5,1.8,77,,2
12108,1,,,粳米（小站精米）,100,12.9,342,1429,6.9,0.7,79.2,2.3,2.2
12214,1,,,籼米,100,13.1,328,1374,7.5,1.1,78,5.9,1.7
12215,1,,,香米,100,13.5,335,1400,8.4,0.7,77.2,3.5,1.8
12408,1,,,籼米饭（蒸）,100,70.1,113,474,3,0.4,26.4,2,1.7
12409,1,,,籼米粥,100,85,58,242,1.3,0.2,13.4,0.7,2.8
12410,1,,,米粉,100,12.7,346,1446,0.4,0.8,85.8,1.6,52.2
12411,1,,,河粉,100,11.2,356,1491,7.7,1.5,79.2,1.2,8.2
13108,1,,,玉米粒（黄，干）,100,11.8,298,1248,8,0.8,79.2,14.4,0
13109,1,,,玉米面（黄）,100,11.2,339,1419,8.5,1.5,78.4,5.5,2.3
13110,1,,,玉米糁,100,12.5,297,1243,7.4,1.2,78.7,14.5,1.7
13202,1,,,玉米面面条,100,12.3,348,1456,6.6,0.3,80.5,,0
14102,1,,,黑大麦,100,10.9,297,1243,10.2,2.2,74.3,,17
15104,1,,,小米（黄）,100,9.7,355,1485,8.9,3,77.7,4.6,0.6
19010,1,,,荞麦面,100,14.2,329,1377,11.3,2.8,70.2,5.5,0.9
19011,1,,,莜麦面,100,8.8,380,1589,13.7,8.6,67.7,5.8,1.8
19201,1,,,高粱面面条,100,23.4,304,1271,7,0.2,68.7,,0
21104,,,,马铃薯[土豆，洋芋],94,78.6,79,329,2.6,0.2,17.8,1.2,5.9
21105,,,,马铃薯（烤）,100,80.8,70,293,1.8,0.1,16.4,,6
21106,,,,马铃薯（蒸）,100,80.6,69,289,3,0,15.3,,3
21107,,,,马铃薯（煮）,100,81.5,65,272,3.2,0,14.2,,2
21108,,,,马铃薯全粉,100,5.6,355,1486,8.4,0.5,82.7,,71
21205,,,,甘薯（红心）[山芋、红薯],90,83.4,57,238,0.7,0.2,15.3,2.2,70.9
22108,,,,淀粉（小麦）,100,13.1,351,1469,0.2,0.5,86,   ,3
22109,,,,淀粉（大米）,100,9.7,366,1531,0.2,0.7,89.3,,11
22110,,,,淀粉（马铃薯）,100,17.4,332,1389,0.1,0.1,82,,5
22111,,,,淀粉（甘薯）,100,15.1,342,1431,0.1,0.2,84.4,,3
22112,,,,煎炸粉,100,11.9,331,1385,12.1,1.4,73.6,,18
31104,5,,,黄豆,100,9.2,389,1626,33.1,15.9,37.3,,13.8
31206,5,,,豆奶粉（维维牌）,100,2.4,419,1753,19.4,9.4,65.2,,221.3
31207,5,,,豆奶粉（多力牌）,100,2.6,398,1663,12.3,6.5,76.4,4,151.4
31208,5,,,豆奶粉（大磨牌）,100,4.3,432,1807,27.4,13,51.6,,99.2
31306,5,,,豆腐（北豆腐）,100,78.6,111,462,9.2,8.1,3,2.8,7.3
31307,5,,,豆腐（南豆腐）,100,83.6,84,352,5.7,5.8,3.9,1.6,3.1
31405,5,,,豆浆,100,93.8,30,126,3,1.6,1.2,0.3,3.7
31406,5,,,豆浆（甜）,100,91.8,33,139,2.4,0.5,4.9,,0
31527,5,,,豆腐皮,100,9.4,431,1803,51.6,23,12.5,8.1,7.4
31528,5,,,腐竹,100,7.1,476,1990,54.2,27.2,8.1,4.6,27.1
31529,,,,豆腐干,100,30.1,414,1731,19.6,35.2,11.4,6.8,690.2
33204,,,,红豆沙,100,37.9,240,1005,4.5,0.1,57.1,,26.3
33205,,,,红豆馅,100,33,255,1069,4.5,0.2,61.7,,28.6
35203,,,,蚕豆（煮）,100,83.7,62,259,4.8,0.5,10.1,3.6,41
39204,,,,豇豆（煮）,100,64.8,133,556,9.5,0.6,24,,0
39303,,,,豌豆（煮）,100,70.5,107,448,8.9,0.3,19.2,,1
39401,,,,鹰嘴豆[桃豆],100,11.3,316,1323,21.2,4.2,60.1,,6
41111,2,,,白萝卜[莱菔],95,94.6,13,52,0.7,0.1,4,1.8,54.3
41112,2,,,白萝卜（圆）,94,94.8,13,53,0.7,0.2,3.6,1.6,117.5
41113,2,,,青萝卜,95,91,23,98,1.2,0.2,6.9,2.7,56
41114,2,,,变萝卜[红皮萝卜],96,94.2,15,61,0.8,0.1,4.2,1.6,111.2
41115,2,,,樱桃萝卜,46,95.4,9,36,0.9,0.1,3,2,82.6
41204,2,,,胡萝卜,97,90,25,106,1,0.2,8.1,3.2,120.7
41402,2,,,根芹[根洋芹、菜球塘蒿],67,86.2,27,113,2.2,0.1,10,5.7,75.9
41403,2,,,紫菜头,89,86.4,33,140,1.8,0.2,10.6,4.5,306
42118,2,,,扁豆,96,89.5,23,96,2.3,0.2,7.4,4.4,3.9
42119,2,,,豇豆,97,90.1,18,76,2.2,0.3,7.3,4.3,9.5
42120,2,,,四季豆[菜豆、芸豆],96,91.2,15,63,2,0.2,6,4.7,4.4
42121,2,,,四棱豆[杨桃豆、翅豆],96,93,11,48,2,0.2,4.2,3.8,5.7
42122,2,,,脆甜荷兰豆[甜豆],100,88,17,70,3,0.3,8.1,7.6,4.4
42205,2,,,黄豆芽,100,89.8,32,134,4.4,1.6,3.6,3.6,28.3
42206,2,,,绿豆芽,100,95.3,13,54,1.7,0.1,2.6,1.3,25.8
42207,2,,,黑豆苗,100,91.7,25,104,4.4,0.8,2.6,2.6,14.9
42208,2,,,豌豆苗,100,91.2,26,110,4.8,0.8,2.6,2.6,20.9
43115,2,,,茄子（白皮，长）,97,92.5,14,59,1.3,0.1,5.5,3.5,1.9
43116,2,,,茄子（紫皮，长）,95,93.4,13,52,1.1,0.1,4.8,3,5
43117,2,,,茄子（紫皮，圆）,98,93.3,19,79,0.8,0.2,5.3,1.8,4.6
43118,2,,,香瓜茄,96,93.6,17,72,0.6,0,5.5,1.8,3.8
43119,2,,,番茄[西红柿],97,95.2,11,46,0.9,0.2,3.3,1.9,9.7
43120,2,,,樱桃番茄[小西红柿],98,92.5,22,91,1,0.2,5.8,1.8,10
43121,2,,,辣椒（小红尖辣椒）,89,76.4,32,136,4.1,0.4,17.7,14.6,11.5
43122,2,,,辣椒（小红尖辣椒，干）,88,10.2,197,825,15.4,12,57.4,50.5,55.7
43123,2,,,辣椒（青，尖）,91,93.4,17,70,0.8,0.3,5.2,2.5,7
43124,2,,,甜椒[灯笼椒、柿子椒],82,94.6,16,66,1,0.2,3.8,1.3,0
43125,2,,,彩椒,83,91.5,19,81,1.3,0.2,6.4,3.3,6.8
43126,2,,,秋葵[黄秋葵、羊豆角],98,91.2,16,68,1.8,0.2,6.2,4.4,8.7
43221,2,,,冬瓜,80,96.9,8,34,0.3,0.2,2.4,1.1,2.8
43222,2,,,飞碟瓜,91,94.1,13,52,1,0.1,4.4,2.5,4.3
43223,2,,,黄金西葫芦,91,93.7,11,47,1.8,0.1,3.6,2.8,3
43224,2,,,黄茎瓜,100,95.4,18,76,1.2,0.9,2,,0
43225,2,,,迷你黄瓜[荷兰乳黄瓜],92,95.8,12,51,1,0.2,2.5,0.9,2.2
43226,2,,,秋黄瓜[旱黄瓜],92,96,12,49,0.9,0.2,2.5,0.9,2.2
43227,2,,,南瓜（栗面）,74,88.8,31,129,1.4,0.1,8.8,2.7,11
43228,2,,,丝瓜,83,94.1,16,68,1.3,0.2,4,1.7,3.7
44206,2,,,大葱,82,91.8,23,95,1.6,0.3,5.8,2.4,8.9
44207,2,,,细香葱[香葱、四季葱],89,91.1,21,88,1.4,0.3,6.6,3.4,13.6
44404,2,,,韭菜,90,92,18,75,2.4,0.4,4.5,3.3,5.8
45117,2,,,大白菜（白口）,85,95.6,13,52,1,0.1,2.9,1,39.9
45118,2,,,大白菜（青口）,83,95.6,9,36,1.1,0.1,2.6,1.8,38.2
45119,2,,,酸白菜[酸菜],100,94.9,5,20,0.7,0.2,2.6,2.6,43.1
45120,2,,,小白菜[青菜],94,94.8,10,43,1.4,0.3,2.4,1.9,132.2
45121,2,,,奶白菜,100,92.6,17,69,2.7,0.2,3.3,2.3,170.2
45122,2,,,鸡毛菜,100,93.5,15,61,2.7,0.2,2.6,2.1,62.7
45123,2,,,娃娃菜,97,95,8,33,1.9,,2.4,2.3,19.3
45124,2,,,乌塌菜[塌菜、塌棵菜],96,94.5,8,34,1.8,0.1,2.6,2.6,59.5
45125,2,,,油菜,96,95.6,10,41,1.3,0.5,2,2,73.7
45126,2,,,油菜心,100,95.1,11,45,1.3,0.4,2.7,2.2,33.4
45210,2,,,结球甘蓝（绿）[圆白菜],86,94.5,12,51,0.9,0.2,4,2.3,42.1
45211,2,,,结球甘蓝（紫）,86,91.8,19,81,1.2,0.2,6.2,3,27
45212,2,,,抱子甘蓝,87,86.7,23,95,3.5,,8.8,6.6,35.5
45213,2,,,羽衣甘蓝,100,87.2,32,132,5,0.4,5.7,3.7,66.8
45214,2,,,盖菜,94,94.8,9,38,1.5,,2.8,2,73.5
45215,2,,,芥蓝[甘蓝菜、盖篮菜],98,91,16,67,3.1,0.3,4.1,3.9,40.2
45216,2,,,菜花[花椰菜],82,93.2,15,61,1.7,0.2,4.2,2.7,39.2
45217,2,,,西蓝花[绿菜花],83,91.6,19,81,3.5,0.6,3.7,3.7,46.7
45327,2,,,番杏[新西兰菠菜，夏菠菜],100,94,10,42,1.8,0.1,3.1,2.6,445.2
45328,2,,,樱桃萝卜缨,100,94,9,37,2,0.1,2.7,2.7,111.3
45329,2,,,白凤菜,100,93.4,10,40,1.6,,4,3.2,152
45330,2,,,紫背天葵[红凤菜、血皮菜],100,93.1,12,52,1.9,,3.8,2.6,19.3
