COMMID,comm_type,T1,T2,T3,T4,STRATUM,wave,index,comm,denc,div,econ,health,house,market,soc,trans,edc,mart,sani
111101,1. URBAN NEIGHBORHOOD,11,1,1,1,1,2011,87.546666667,,8,5.5,10,1.25,10,5,8.75,6.6666666667,8.78,5.5,9.5
111102,1. URBAN NEIGHBORHOOD,11,1,1,2,1,2011,91.741666667,,8.5,5.5,10,8.75,9.875,5,8.75,6.6666666667,6.9,7,5.3
111103,1. URBAN NEIGHBORHOOD,11,1,1,3,1,2011,84.296666667,,9,5.75,10,5,9.75,5,6.25,6.6666666667,6.88,4,7.5
111104,1. URBAN NEIGHBORHOOD,11,1,1,4,1,2011,87.676666667,,8.5,7,10,1.25,9.25,5,8.75,6.6666666667,7.86,3.5,10
111201,1. URBAN NEIGHBORHOOD,11,1,2,1,1,2011,93.321666667,,8.5,7,10,6.25,9.625,5,10,6.6666666667,7.78,5,9.3
111202,1. URBAN NEIGHBORHOOD,11,1,2,2,1,2011,100.13380952,,7.5,6.5,10,8.75,9.5,9.1071428571,8.75,6.6666666667,7.36,7.5,9.3
111203,1. URBAN NEIGHBORHOOD,11,1,2,3,1,2011,96.85,,9.5,6.5,10,5,9.25,6.25,8.75,10,7.8,6,8
111204,1. URBAN NEIGHBORHOOD,11,1,2,4,1,2011,98.75,,8,6,10,8.75,10,10,5,10,7.9,8,6
111301,1. URBAN NEIGHBORHOOD,11,1,3,1,1,2011,89.726666667,,7.5,5.5,10,8.75,10,5,8.75,6.6666666667,5.86,5.5,10
111302,1. URBAN NEIGHBORHOOD,11,1,3,2,1,2011,98.826666667,,8.5,5.5,10,8.75,10,5,8.75,6.6666666667,7.76,8.5,9.8
111303,1. URBAN NEIGHBORHOOD,11,1,3,3,1,2011,88.04,,7,7,10,5,9.875,4.375,8.75,5,6.94,6,9.8
111304,1. URBAN NEIGHBORHOOD,11,1,3,4,1,2011,89.366666667,,9,5,9.5,1.25,10,5,8.75,6.6666666667,8.6,6,10
111401,1. URBAN NEIGHBORHOOD,11,1,4,1,1,2011,102.56785714,,9,7.5,10,5,9.5178571429,10,8.75,10,7.2,6.5,9.5
111402,1. URBAN NEIGHBORHOOD,11,1,4,2,1,2011,75.886666667,,8,6,10,1.25,9.5,5,1.25,6.6666666667,7.72,5.5,8.3
111403,1. URBAN NEIGHBORHOOD,11,1,4,3,1,2011,92.391666667,,6.5,5.75,10,5,8.375,10,10,6.6666666667,6.5,6,9
111404,1. URBAN NEIGHBORHOOD,11,1,4,4,1,2011,88.858333333,,9,6,10,2.5,9.875,5,8.75,8.3333333333,8,6.5,5
112101,3. COUNTY TOWN NEIGHBORHOOD,11,2,1,1,3,2011,96.345,,9,6.5,10,8.75,9.625,5,8.75,10,6.52,4,9
112102,3. COUNTY TOWN NEIGHBORHOOD,11,2,1,2,3,2011,89.86,,8.5,6,10,6.25,9.5,5,8.75,5,7.56,4.5,9
112103,4. RURAL VILLAGE,11,2,1,3,4,2011,79.886666667,,5.5,6.5,9,5,8.75,10,1.25,6.6666666667,6.82,5.5,5.3
112104,4. RURAL VILLAGE,11,2,1,4,4,2011,69.611666667,,6,7,5,5,9.375,5,1.25,6.6666666667,5.62,3.5,5.8
112201,3. COUNTY TOWN NEIGHBORHOOD,11,2,2,1,3,2011,99.06,,8,9,10,7.5,10,5,10,10,6.76,3,10
